url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
113,15,76,2,0,0,1,1,7,90,16,1,0,2,0,1
35,9,18,1,0,0,0,0,3,27,5,1,0,1,0,1
99,15,76,2,0,0,0,0,7,79,13,1,0,2,0,1
27,6,13,1,1,0,0,0,0,21,6,1,0,1,1,1
26,15,3,2,0,0,0,0,0,19,7,1,0,2,0,1
20,6,6,1,0,0,0,0,1,14,5,1,0,1,0,1
20,9,3,1,0,0,0,0,0,15,5,1,0,1,0,1
84,15,61,2,0,0,0,0,11,64,9,1,0,2,0,1
84,15,61,2,1,0,0,0,7,67,10,1,0,2,0,1
261,12,5,2,4,0,1,7,72,153,36,1,0,2,0,1
30,14,9,1,0,0,0,0,0,24,6,0,0,1,0,1
24,13,3,2,0,0,0,0,0,18,6,1,0,2,0,1
87,18,25,3,0,0,1,1,23,53,11,1,0,2,1,1
35,9,18,1,0,0,0,0,3,27,5,1,0,1,0,1
113,15,76,2,0,0,1,1,7,92,14,1,0,2,0,1
22,7,7,1,0,0,0,0,2,15,5,1,0,1,0,1
21,6,7,1,1,0,0,0,0,15,6,1,0,1,0,1
21,6,7,1,1,0,0,0,1,14,6,1,0,1,0,1
22,7,7,1,0,0,0,0,1,16,5,1,0,1,0,1
22,7,7,1,0,0,0,0,0,17,5,1,0,1,0,1
22,7,7,1,0,0,0,0,0,17,5,1,0,1,0,1
22,7,7,1,0,0,0,0,0,17,5,1,0,1,0,1
30,21,1,2,0,0,0,0,0,24,6,1,0,2,0,1
65,20,37,3,0,0,0,0,10,46,9,1,0,2,0,1
26,17,1,2,0,0,0,0,0,20,6,1,0,2,0,1
43,34,1,3,0,0,0,0,6,30,7,1,0,3,0,1
84,15,61,2,1,0,0,0,5,69,10,1,0,2,0,1
84,15,61,2,0,0,0,0,15,59,10,1,0,2,0,1
84,15,61,2,0,0,0,0,6,68,10,1,0,2,0,1
84,15,61,2,2,0,0,0,11,60,13,1,0,2,0,1
84,15,61,2,2,0,0,0,9,64,11,1,0,2,0,1
84,15,61,2,0,0,0,0,8,67,9,1,0,2,0,1
23,8,7,2,0,0,0,0,0,17,6,1,0,2,0,1
45,36,1,2,3,0,0,0,12,24,9,1,0,2,0,1
46,7,2,3,1,0,1,1,1,31,14,1,0,2,0,1
26,11,7,1,1,0,0,0,1,19,6,1,0,1,0,1
71,53,1,3,0,0,1,0,2,61,8,1,0,3,0,1
24,7,9,1,0,0,0,0,0,19,5,1,0,1,0,1
46,21,17,3,0,0,0,0,0,35,11,1,0,3,0,1
24,7,9,1,0,0,0,0,1,18,5,1,0,1,0,1
44,23,13,2,0,0,0,0,3,33,8,1,0,2,0,1
84,43,5,6,4,1,1,1,5,62,17,1,0,4,0,1
200,35,1,2,2,0,1,1,14,173,13,1,0,2,0,1
34,26,1,2,1,0,0,0,9,18,7,0,0,2,0,1
35,26,1,2,1,0,0,0,9,19,7,1,0,2,0,1
25,16,1,2,0,0,0,0,0,19,6,1,0,2,0,1
28,19,1,2,0,0,0,0,0,22,6,1,0,2,0,1
26,17,1,2,0,0,0,0,0,20,6,1,0,2,0,1
25,16,1,2,0,0,0,0,8,11,6,1,0,2,0,1
27,18,1,2,1,0,0,0,0,20,7,1,0,2,0,1
28,19,1,2,0,0,0,0,0,22,6,1,0,2,0,1
36,27,1,2,2,0,0,0,6,22,8,1,0,2,0,1
41,32,1,2,2,0,0,0,6,27,8,1,0,2,0,1
40,31,1,2,2,0,0,0,6,26,8,1,0,2,0,1
38,29,1,2,2,0,0,0,6,24,8,1,0,2,0,1
31,22,1,2,1,0,0,0,0,24,7,1,0,2,0,1
38,29,1,2,2,0,0,0,6,24,8,1,0,2,0,1
41,32,1,2,3,0,0,0,0,32,9,1,0,2,0,1
43,34,1,2,3,0,0,0,5,29,9,1,0,2,0,1
